id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q114754536,Attorney General of Nicaragua,Q811,Q811,,,,,,,
Q114754575,Governor of the Central Bank of Nicaragua,Q811,,,,,,,,
Q18616113,Member of the National Assembly of Nicaragua,Q811,Q811,,,,,,,
Q114754489,Minister of Agriculture,Q811,Q811,,,,,,,
Q114754432,Minister of Defence,Q811,Q811,,,,,,,
Q114754515,"Minister of Development, Industry and Trade",Q811,Q811,,,,,,,
Q114754397,Minister of Education of Nicaragua,,Q811,,,,,,,
Q114754490,Minister of Energy and Mines,Q811,Q811,,,,,,,
Q114754405,Minister of Finance and Public Credit of Nicaragua,,Q811,,,,,,,
Q18345278,Minister of Foreign Affairs,Q811,Q811,,,,,,,Minister of Foreign Affairs (Nicaragua)
Q114754414,Minister of Health,,Q811,,,,,,,
Q114754468,Minister of Household Economy,Q811,Q811,,,,,,,
Q114754485,Minister of Labour,Q811,Q811,,,,,,,
Q114754521,Minister of Transport and Infrastructure,Q811,Q811,,,,,,,
Q114754479,Minister of Women,Q811,Q811,,,,,,,
Q114754525,Minister of Youth,Q811,Q811,,,,,,,
Q114754419,Minister of the Environment and Natural Resources,,Q811,,,,,,,
Q114754449,Minister of the Family,Q811,Q811,,,,,,,
Q114754448,Minister of the Interior,Q811,Q811,,,,,,,
Q114755131,Minister-Delegate of the President of the Republic,Q811,Q811,,,,,,,
Q30622591,Nicaraguan Ambassador to China,Q811,,,,,,,,List of ambassadors of Nicaragua to Taiwan
Q852448,President of Nicaragua,Q811,Q811,Q3649507,Q55162315,1854,,,,President of Nicaragua
Q113577101,President of the National Assembly of Nicaragua,,,,Q11812633,,,,,
Q114754816,Prosecutor General,Q811,Q811,,,,,,,
Q3649507,Vice President of Nicaragua,Q811,Q811,,,1893-09-15,,,,Vice President of Nicaragua
Q106834464,ambassador of Nicaragua to Spain,Q811,,,Q6348442,,,,,
