positionlabel,position
Ministra de Defensa,Q114754432
Ministra de Educación,Q114754397
Ministra de Gobernación,Q114754448
Ministra de Salud,Q114754414
Ministra de la Familia Adolescencia y Niñez,Q114754449
Ministra del Ambiente y de los Recursos Naturales,Q114754419
"Ministra del Ministerio de Economía Familiar, Comunitaria, Cooperativa y Asociativa",Q114754468
Ministra del Ministerio de la Mujer,Q114754479
Ministra del Trabajo,Q114754485
Ministro - Delegado Presidencial para la Promoción de Inversiones y Facilitación del Comercio del Exterior,Q114755131
Ministro - Delegado del Presidente de la República para Asuntos Específicos,Q114755131
Ministro Agropecuario,Q114754489
Ministro de Energía y Minas,Q114754490
"Ministro de Fomento, Industria y Comercio",Q114754515
Ministro de Hacienda y Crédito Público,Q114754405
Ministro de Transporte e Infraestructura,Q114754521
Ministro del Ministerio de la Juventud,Q114754525
Presidente del Banco Central de Nicaragua,Q114754575
Procurador General de la República,Q114754816
