itemLabel,positionLabel
José Daniel Ortega Saavedra,President
Rosario Murillo Zambrana,Vice-President
Denis Ronaldo Moncada Colindres,Minister of Foreign Affairs
María Amelia Coronel Kinloch,Minister of the Interior
Rosa Adelina Barahona Castro,Minister of Defence
Iván Acosta,Minister of Finance and Public Credit
José De Jesús Bermúdez Carvajal,"Minister of Development, Industry and Trade"
Justa Pérez Acuña,Minister of Household Economy
Alba Luz Torres Briones,Minister of Labour
Fanny Sumaya Castillo,Minister of the Environment and Natural Resources
Gen. (Retd) Óscar Salvador Mojica Obregón,Minister of Transport and Infrastructure
Isidro Rivera,Minister of Agriculture and Forestry
Dra Martha Verónica Reyes Álvarez,Minister of Health
Lilliam Esperanza Herrera Moreno,Minister of Education
Johanna Flores,"Minister of the Family, Adolescents and Children"
Salvador Mansell Castrillo,Minister of Energy and Mines
Gen. (Retd) Moisés Omar Halleslevens Acevedo,Minister-Delegate for Presidential Affairs
