item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q111737782,Lilliam Esperanza Herrera Moreno,Q114754397,Minister of Education,2022-01-06,,466,,Q111737782-0CFC1110-BD3C-4C86-AA04-4C1CAFC6BA45
Q113189838,Rosa Adelina Barahona Castro,Q114754432,Minister of Defence,2019-08-19,,466,,Q113189838-3fb74f9b-453c-c37b-8e00-0243d0b7445d
Q114754966,Alba Luz Torres Briones,Q114754485,Minister of Labour,2017-01-11,,466,,Q114754966-8D7FF5C7-14D3-4A8E-B34D-68C3F659A0A4
Q114754969,Iván Acosta,Q114754405,Minister of Finance and Public Credit,2017-01-11,,466,,Q114754969-17D5F4E8-7C4C-4E0A-B9BC-83BE8C37A464
Q114754974,María Amelia Coronel Kinloch,Q114754448,Minister of the Interior,2017-01-11,,466,,Q114754974-C02840FF-4966-4482-AB07-BE11B082B3D1
Q114754977,Gen. (Retd) Moisés Omar Halleslevens Acevedo,Q114755131,Minister-Delegate for Presidential Affairs,2017-01-11,,466,,Q114754977-A8AA3C79-B311-4603-8944-8D8064E4EC82
Q114754980,Salvador Mansell Castrillo,Q114754490,Minister of Energy and Mines,2017-01-11,,466,,Q114754980-B0337F2A-652A-489C-9B8B-351DCBF68301
Q114754982,Álvaro Antonio Baltodano Cantarero,Q114755131,Minister-Delegate of the President of the Republic,2017-01-11,,,,Q114754982-529E4C53-0AF3-4D7C-8294-6EF9C0618475
Q114755301,Isidro Rivera,Q114754489,Minister of Agriculture and Forestry,2022-06-28,,466,,Q114755301-a09a3b04-4ff3-c1da-2a90-6fe247472742
Q114755416,José De Jesús Bermúdez Carvajal,Q114754515,"Minister of Development, Industry and Trade",2022-01-03,,466,,Q114755416-94ed066b-43ba-2e46-adca-cfcb16d2447d
Q114755584,Dra Martha Verónica Reyes Álvarez,Q114754414,Minister of Health,2022-04-01,,466,,Q114755584-c99ff1a2-4caa-17e1-b639-5949bfaf82f2
Q114755614,Johanna Flores,Q114754449,"Minister of the Family, Adolescents and Children",2018-06-27,,466,,Q114755614-DC52675D-A84A-4A36-9226-4BE5614FE4CD
Q114755642,Fanny Sumaya Castillo,Q114754419,Minister of the Environment and Natural Resources,2019-05-02,2022-09-21,466,,Q114755642-57117935-69CC-40A7-9EA4-DA04F4A7BD1E
Q114755795,Justa Pérez Acuña,Q114754468,Minister of Household Economy,2017-07-03,,466,,Q114755795-3e4703a0-4279-4676-4ebd-5b74ef8140c7
Q114755818,Gen. (Retd) Óscar Salvador Mojica Obregón,Q114754521,Minister of Transport and Infrastructure,2017-08-18,,466,,Q114755818-eb09c8cc-4e0c-e847-f827-6386c78fddee
Q114755892,Jessica Yaoska Padilla Leiva,Q114754479,Minister of Women,2019-11-07,,,,Q114755892-4eda7071-49f8-1999-fccf-ad53e057ddd3
Q28381212,Denis Ronaldo Moncada Colindres,Q18345278,Minister of Foreign Affairs,2017-01-17,,466,,Q28381212-E727D3BD-5B8B-453D-A25C-0EBA51E99DC7
Q3034382,Rosario Murillo Zambrana,Q3649507,Vice-President,2017-01-10,,466,,Q3034382-8a093c02-4220-eed8-5338-e069b241d52d
Q57402,José Daniel Ortega Saavedra,Q852448,President,2007-01-10,,466,,q57402-9d3979b3-4659-d47a-24c5-8d456d73b4bc
