position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q852448,President of Nicaragua,Q811,Nicaragua,Q811,Nicaragua,1854-01-01,,,,,,Q3649507,Vice President of Nicaragua,Q55162315,list of heads of state of Nicaragua
Q3649507,Vice President of Nicaragua,Q811,Nicaragua,Q811,Nicaragua,1893-09-15,,,,,,,,,
Q18345278,Minister of Foreign Affairs,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q18616113,Member of the National Assembly of Nicaragua,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q30622591,Nicaraguan Ambassador to China,Q811,Nicaragua,,,,,,,,,,,,
Q106834464,ambassador of Nicaragua to Spain,Q811,Nicaragua,,,,,,,,,,,Q6348442,list of ambassadors of Nicaragua to Spain
Q113577101,President of the National Assembly of Nicaragua,,,,,,,,,,,,,Q11812633,list of Presidents of the National Assembly of Nicaragua
Q114754397,Minister of Education of Nicaragua,,,Q811,Nicaragua,,,,,,,,,,
Q114754405,Minister of Finance and Public Credit of Nicaragua,,,Q811,Nicaragua,,,,,,,,,,
Q114754414,Minister of Health,,,Q811,Nicaragua,,,,,,,,,,
Q114754419,Minister of the Environment and Natural Resources,,,Q811,Nicaragua,,,,,,,,,,
Q114754432,Minister of Defence,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754448,Minister of the Interior,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754449,Minister of the Family,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754468,Minister of Household Economy,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754479,Minister of Women,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754485,Minister of Labour,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754489,Minister of Agriculture,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754490,Minister of Energy and Mines,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754515,"Minister of Development, Industry and Trade",Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754521,Minister of Transport and Infrastructure,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754525,Minister of Youth,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754536,Attorney General of Nicaragua,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114754575,Governor of the Central Bank of Nicaragua,Q811,Nicaragua,,,,,,,,,,,,
Q114754816,Prosecutor General,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
Q114755131,Minister-Delegate of the President of the Republic,Q811,Nicaragua,Q811,Nicaragua,,,,,,,,,,
