position,title
Q852448,President
Q3649507,Vice President
Q114754489,Minister of Agriculture
Q114754432,Minister of Defence
Q114754515,"Minister of Development, Industry and Trade"
Q114754397,Minister of Education
Q114754490,Minister of Energy and Mines
Q114754419,Minister of the Environment and Natural Resources
Q114754449,Minister of the Family
Q114754405,Minister of Finance and Public Credit
Q18345278,Minister of Foreign Affairs
Q114754414,Minister of Health
Q114754468,Minister of Household Economy
Q114754448,Minister of the Interior
Q114754485,Minister of Labour
Q114754521,Minister of Transport and Infrastructure
Q114754479,Minister of Women
Q114754525,Minister of Youth
Q114755131,Minister-Delegate of the President
Q114754816,Prosecutor General
Q114754536,Attorney General
Q113577101,Speaker of the National Assembly
Q114754575,Governor of the Central Bank
